Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%▼,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
57,Jaylen Brown,SG,23,BOS,57,57,1934,427,887,0.48100000000000004,129,338,0.382,298,549,0.5429999999999999,0.5539999999999999,176,243,0.7240000000000001,62,302,364,118,65,20,125,167,1159
58,Patty Mills,PG,31,SAS,66,1,1485,258,598,0.431,154,403,0.382,104,195,0.5329999999999999,0.56,97,112,0.866,22,86,108,118,53,6,54,105,767
59,Harrison Barnes,PF,27,SAC,72,72,2482,365,793,0.46,102,268,0.381,263,525,0.501,0.525,214,267,0.8009999999999999,77,278,355,159,43,12,88,93,1046
60,Kemba Walker,PG,29,BOS,56,56,1742,378,889,0.425,180,473,0.381,198,416,0.47600000000000003,0.526,209,242,0.8640000000000001,36,181,217,268,48,28,117,91,1145
61,Kevin Huerter,SG,21,ATL,56,48,1760,252,610,0.413,127,334,0.38,125,276,0.45299999999999996,0.517,53,64,0.828,35,193,228,213,51,27,87,139,684
62,Zach LaVine,SG,24,CHI,60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.49700000000000005,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530
63,Collin Sexton,PG,21,CLE,65,65,2143,513,1086,0.47200000000000003,97,255,0.38,416,831,0.501,0.517,226,267,0.846,61,143,204,192,65,7,158,142,1349
64,CJ McCollum,SG,28,POR,70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556
65,Kawhi Leonard,SF,28,LAC,57,57,1848,532,1133,0.47,123,325,0.37799999999999995,409,808,0.506,0.524,356,402,0.8859999999999999,54,348,402,280,103,33,149,113,1543
66,Royce O'Neale,SF,26,UTA,71,62,2049,158,365,0.433,92,244,0.377,66,121,0.545,0.5589999999999999,42,55,0.764,27,362,389,180,59,32,61,202,450
67,Dorian Finney-Smith,PF,26,DAL,71,68,2120,243,522,0.466,114,303,0.376,129,219,0.589,0.575,78,108,0.722,145,260,405,114,45,39,69,178,678
68,Lonzo Ball,PG,22,NOP,63,54,2025,277,687,0.40299999999999997,148,395,0.375,129,292,0.442,0.511,43,76,0.5660000000000001,71,312,383,438,88,38,193,128,745
69,Will Barton,SF,29,DEN,58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874
70,Mike Conley,PG,32,UTA,47,41,1363,232,567,0.409,96,256,0.375,136,311,0.43700000000000006,0.494,115,139,0.8270000000000001,33,118,151,208,36,5,92,104,675
71,Landry Shamet,SG,22,LAC,53,30,1452,158,391,0.40399999999999997,111,296,0.375,47,95,0.495,0.546,65,76,0.855,6,94,100,99,20,10,42,142,492
72,Kevin Love,PF,31,CLE,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.8540000000000001,54,493,547,178,33,19,140,90,987
73,P.J. Washington,PF,21,CHO,58,57,1759,268,589,0.455,86,230,0.374,182,359,0.507,0.528,88,136,0.647,58,258,316,123,51,44,93,158,710
74,Devonte' Graham,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145
75,Maxi Kleber,PF,28,DAL,74,21,1890,237,514,0.461,119,319,0.373,118,195,0.605,0.5770000000000001,79,93,0.8490000000000001,112,276,388,88,25,83,58,176,672
76,Trevor Ariza,SF,34,TOT,53,21,1493,142,324,0.43799999999999994,77,207,0.37200000000000005,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423
77,Bogdan Bogdanović,SG,27,SAC,61,28,1766,337,766,0.44,164,441,0.37200000000000005,173,325,0.532,0.547,86,116,0.741,26,181,207,207,64,15,102,133,924
78,Mike Scott,PF,31,PHI,68,11,1207,149,350,0.426,80,217,0.369,69,133,0.519,0.54,30,37,0.8109999999999999,65,183,248,56,21,5,26,96,408
79,Jordan Clarkson,SG,27,TOT,71,2,1705,394,867,0.45399999999999996,152,413,0.368,242,454,0.5329999999999999,0.542,138,165,0.836,50,137,187,136,46,16,97,108,1078
80,Goran Dragić,PG,33,MIA,59,3,1663,319,724,0.441,124,338,0.36700000000000005,195,386,0.505,0.526,191,246,0.7759999999999999,29,158,187,301,40,10,144,124,953
81,Danny Green,SG,32,LAL,68,68,1687,197,474,0.41600000000000004,120,327,0.36700000000000005,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547
82,Tobias Harris,PF,27,PHI,72,72,2469,553,1173,0.47100000000000003,131,357,0.36700000000000005,422,816,0.517,0.527,174,216,0.8059999999999999,69,426,495,227,53,40,104,165,1411
83,D'Angelo Russell,PG,23,TOT,45,45,1452,360,846,0.426,158,431,0.36700000000000005,202,415,0.48700000000000004,0.519,161,199,0.809,17,160,177,285,48,13,147,86,1039
84,Donovan Mitchell,SG,23,UTA,69,69,2364,602,1342,0.449,173,473,0.366,429,869,0.494,0.513,278,322,0.863,53,251,304,294,70,14,184,172,1655
85,Derrick White,SG,25,SAS,68,20,1677,253,552,0.45799999999999996,79,216,0.366,174,336,0.518,0.53,180,211,0.853,35,188,223,241,44,59,89,152,765
86,Chris Paul,PG,34,OKC,70,70,2208,434,887,0.489,111,304,0.365,323,583,0.5539999999999999,0.552,253,279,0.907,26,323,349,472,111,11,161,158,1232
87,Caris LeVert,SG,25,BRK,45,31,1330,311,732,0.425,80,220,0.364,231,512,0.451,0.48,140,197,0.711,49,140,189,199,53,10,118,81,842
88,Wesley Matthews,SG,33,MIL,67,67,1635,167,422,0.396,108,297,0.364,59,125,0.47200000000000003,0.524,52,68,0.765,22,144,166,92,38,9,43,103,494
89,Danuel House,SF,26,HOU,63,52,1913,230,539,0.42700000000000005,129,355,0.363,101,184,0.5489999999999999,0.546,73,90,0.8109999999999999,57,210,267,85,67,34,54,132,662
90,Ricky Rubio,PG,29,PHO,65,65,2016,287,692,0.415,78,216,0.361,209,476,0.439,0.47100000000000003,195,226,0.863,46,258,304,570,94,11,173,167,847
91,Trae Young,PG,21,ATL,60,60,2120,546,1249,0.43700000000000006,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778
92,Pascal Siakam,PF,25,TOR,60,60,2110,500,1104,0.45299999999999996,131,365,0.359,369,739,0.499,0.512,240,303,0.792,64,375,439,207,61,53,148,170,1371
93,Dillon Brooks,SG,24,MEM,73,73,2112,435,1068,0.40700000000000003,147,411,0.358,288,657,0.43799999999999994,0.47600000000000003,164,203,0.8079999999999999,68,175,243,150,63,27,124,278,1181
94,Bobby Portis,PF,24,NYK,66,5,1393,265,589,0.45,67,187,0.358,198,402,0.493,0.507,71,93,0.763,80,258,338,98,32,18,73,110,668
95,P.J. Tucker,PF,34,HOU,72,72,2467,177,426,0.415,107,299,0.358,70,127,0.551,0.541,39,48,0.813,112,364,476,115,77,36,72,229,500
96,Dario Šarić,PF,25,PHO,66,51,1632,256,538,0.47600000000000003,84,235,0.35700000000000004,172,303,0.568,0.5539999999999999,108,128,0.8440000000000001,100,306,406,123,37,16,88,156,704
97,Damion Lee,SG,27,GSW,49,36,1423,213,511,0.41700000000000004,85,239,0.35600000000000004,128,272,0.47100000000000003,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621
98,Austin Rivers,SG,27,HOU,68,4,1594,211,501,0.42100000000000004,96,270,0.35600000000000004,115,231,0.498,0.517,78,111,0.703,27,148,175,113,49,10,50,129,596
